cfg,nfeat,oof,mins
dsvd32,102,1.12654680808763,1.79974780082703
dsvd16,86,1.13082025749255,1.66836990118027
dsvd8,78,1.13369098915229,1.39757514794668
base,70,1.13760594296743,1.03101740280787
demoPC4_dsvd8,82,1.14701080201272,1.59032378196716
demoPC8_dsvd16,94,1.1498254508807,1.55284566481908
demoPC4,74,1.14987013183822,1.11299209992091
demoPC8,78,1.15573813789824,1.17756416797638
demoPC8_noraw,63,1.16506436735452,1.13414726654689
