file,mean_p4,miss,recoverable
zf GAM_P4_ON_MF (1.192),0.213114859379315,-0.0534061673820176,0.00804856390375693
zf a05_FIXEDCAL (1.190),0.218024689682672,-0.048496337078661,0.00656893845365334
zf A05FIXED_GAMHEAD,0.213997761995241,-0.0525232647660911,0.00777013025170624
ours live (1.197),0.247998151848794,-0.0185228749125388,0.000905145490057928
ours fr10_cal,0.26409376976477,-0.0024272569965626,1.51276584017183e-05
ours rotblend (1.205),0.26726019826111,0.000739171499777813,1.39582528012414e-06
