sub,col,oof,mins
0.8,0.8,1.13605795495209,2.59792793194453
0.7,0.6,1.13641389990262,2.61005471547445
0.8,0.6,1.13657946014688,2.5758815685908
0.7,0.8,1.13706594185105,2.63049396673838
0.6,0.8,1.13725816825526,2.71189941565196
0.5,0.8,1.13776120862212,2.72985433340073
0.6,0.6,1.13779705302403,2.67231118679047
0.7,0.4,1.13819617679536,2.65229006608327
0.8,0.4,1.13829109559746,2.54993411699931
0.6,0.4,1.13920662752496,2.61029856602351
0.5,0.6,1.13923728397718,2.68336181640625
0.5,0.4,1.14099886331748,2.65143471558889
