structure,seed,base,rot
folds,1,1.13760594296743,1.11514987268646
folds,2,1.13755626858818,1.11556633375035
folds,3,1.13721912063585,1.11610368808398
folds_b,1,1.13760665587587,1.11746719751122
folds_b,2,1.13689677307077,1.11579046676485
folds_b,3,1.13644015802908,1.11798480839103
