cfg,plain,seg,inc,d_plain,d_seg,d_inc,ret_seg,ret_inc
dsvd32,1.12654680808763,1.18293923193062,1.13042205542753,-0.011059134879805,-0.0129386902566797,-0.0101480972041137,1.16995500979981,0.917621252874402
dsvd16,1.13082025749255,1.18836161518767,1.13433658869288,-0.00678568547488445,-0.00751630699962491,-0.0062335639387654,1.10767099763829,0.918634375530284
dsvd8,1.13369098915229,1.19084983448154,1.13750146206866,-0.00391495381513929,-0.00502808770576135,-0.00306869056298287,1.2843287413296,0.783838254008544
base,1.13760594296743,1.1958779221873,1.14057015263165,0,0,0,,
demoPC4_dsvd8,1.14701080201272,1.20762798161763,1.1500267396398,0.00940485904529398,0.0117500594303306,0.00945658700815422,1.24936050330389,1.0055001316459
demoPC8_dsvd16,1.1498254508807,1.20956211620061,1.1524660351831,0.0122195079132654,0.0136841940133081,0.0118958825514581,1.11986457314313,0.973515679673486
demoPC4,1.14987013183822,1.20966485829132,1.1535559650342,0.0122641888707884,0.0137869361040242,0.0129858124025566,1.12416208273364,1.05883989062554
demoPC8,1.15573813789824,1.21846879114158,1.15985636090489,0.0181321949308049,0.0225908689542822,0.0192862082732468,1.24589819602603,1.06364443724799
demoPC8_noraw,1.16506436735452,1.23079626316318,1.16783243984289,0.027458424387091,0.0349183409758853,0.0272622872112391,1.27168043160923,0.992856939892586
