model,q_old,target,delta,q_new,gain,wb_max,adopt
blend_freepool5,0.237656620510175,0.254975264260869,0.109030046882509,0.254975264260869,0.00189190301887099,2.22044604925031e-16,TRUE
blend,0.247998151848794,0.259111876796317,0.0674835730141611,0.259111876796317,0.000763039639970807,2.22044604925031e-16,FALSE
