Delta_s,r_non,r_lux,G_file1,G_file2,G_exactopt,G_exactopt_w100,gain_of_exactopt_over_better_of_the_two,gain_w100,kaggle_selects,mBCE_file1,mBCE_file2,mBCE_exactopt,third
-0.03,0.586960625206104,0.121349495974199,0,0.0299999999999999,0.0810789861060609,0.0830523739114904,0.051078986106061,0.0530523739114904,file2,0.607530202644256,0.577530202644256,0.526451216538195,TRUE
-0.0295,0.583154302072592,0.123073907559546,0,0.0294999999999999,0.0786162371559598,0.0805232560485962,0.0491162371559599,0.0510232560485964,file2,0.608174219009347,0.578674219009347,0.529557981853387,TRUE
-0.029,0.579347978939081,0.124798319144894,0,0.029,0.0761946578251259,0.0780369989329177,0.0471946578251259,0.0490369989329177,file2,0.608818235374438,0.579818235374438,0.532623577549312,TRUE
-0.0285,0.57554165580557,0.126522730730242,0,0.0285000000000001,0.0738140116792025,0.0755933223530751,0.0453140116792025,0.0470933223530751,file2,0.609462251739529,0.580962251739529,0.535648240060327,TRUE
-0.028,0.571735332672058,0.128247142315589,0,0.0279999999999999,0.0714740693687858,0.0731919550551562,0.0434740693687858,0.0451919550551563,file2,0.61010626810462,0.58210626810462,0.538632198735834,TRUE
-0.0275,0.567929009538547,0.129971553900937,0,0.0274999999999999,0.0691746084363762,0.0708326344539257,0.0416746084363764,0.0433326344539259,file2,0.610750284469711,0.583250284469711,0.541575676033335,TRUE
-0.027,0.564122686405036,0.131695965486285,0,0.027,0.0669154131327391,0.0685151063596001,0.0399154131327391,0.0415151063596001,file2,0.611394300834802,0.584394300834802,0.544478887702063,TRUE
-0.0265,0.560316363271524,0.133420377071632,0,0.0264999999999997,0.0646962742420684,0.0662391247192452,0.0381962742420686,0.0397391247192455,file2,0.612038317199893,0.585538317199893,0.547342042957824,TRUE
-0.026,0.556510040138013,0.13514478865698,0,0.0259999999999999,0.0625169889155853,0.0640044513719272,0.0365169889155854,0.0380044513719273,file2,0.612682333564984,0.586682333564984,0.550165344649398,TRUE
-0.0255,0.552703717004502,0.136869200242328,0,0.0255000000000002,0.0603773605131317,0.061810855816811,0.0348773605131315,0.0363108558168108,file2,0.613326349930075,0.587826349930075,0.552948989416943,TRUE
-0.025,0.54889739387099,0.138593611827675,0,0.025,0.0582771984523738,0.059658114993466,0.0332771984523738,0.0346581149934659,file2,0.613970366295166,0.588970366295166,0.555693167842792,TRUE
-0.0245,0.545091070737479,0.140318023413023,0,0.0245000000000001,0.0562163180652767,0.0575460130736903,0.0317163180652766,0.0330460130736903,file2,0.614614382660257,0.590114382660256,0.55839806459498,TRUE
