seed,base,rot
1,1.13760594296743,1.11514987268646
2,1.13755626858818,1.11556633375035
3,1.13721912063585,1.11610368808398
4,1.13727191794239,1.11931687309865
5,1.13774454985586,1.11890558270888
6,1.13745087440223,1.11737325058978
7,1.13685925139198,1.11859959427051
8,1.13806755337574,1.11963013968418
9,1.13770477249644,1.12034829432165
10,1.13691547139568,1.11852940612752
