m1,m2,nested,nested_sd,plain,w1,w2,Temp,eps,test_p4,seg_oof,f1,f2,f3,f4,f5,delta_vs_prod,p4_gap
lcmnl3_both,xgb_lw2fr10,1.12740510833468,0.0149908203837652,1.12682389243373,0.459711118631606,0.540288881368394,0.972925337606852,0.00494378512134273,0.250401798431799,1.19505293763833,1.1423978448503,1.10654519904625,1.11954535003128,1.14071026233125,1.12782688541435,-0.000784347023686793,0.0161082015682008
lcmnl3_tilt,xgb_lw2fr10,1.12743594140014,0.0149750236195701,1.12685217945015,0.457550293168184,0.542449706831816,0.973193296294686,0.00495136412519332,0.250325180509182,1.1950493278168,1.14236591421132,1.10667617073278,1.11952573960488,1.14086978444726,1.12774209800445,-0.000753513958233532,0.0161848194908182
lcmnl3_both,xgb_lw2fr,1.12756396567684,0.0149798423604677,1.12695878230663,0.467321191558139,0.532678808441861,0.96669910035232,0.00927593162533809,0.249154441775703,1.19476096793816,1.14270066750973,1.10650873881054,1.12022274832514,1.14064893297804,1.12773874076073,-0.000625489681534752,0.0173555582242969
lcmnl3_tilt,xgb_lw2fr,1.12758705731671,0.0149456422515891,1.12698679439631,0.465070445688837,0.534929554311163,0.966833428009573,0.00933790599588831,0.249076297277948,1.19475950867844,1.14266839558801,1.10666046448007,1.12019687975028,1.14075903844915,1.12765050831604,-0.000602398041661623,0.0174337027220524
lcmnl3_sm,xgb_lw2fr10,1.12770772296672,0.0148822742190695,1.12710701570294,0.45903354490812,0.540966455091881,0.970701394288845,0.00498296841301605,0.251356081822054,1.19541316986273,1.14250317966579,1.10699802955661,1.11996214501558,1.14105077690878,1.12802448368684,-0.000481732391650613,0.0151539181779458
lcmnl3_sm,xgb_lw2fr,1.12785686113058,0.0148452522755449,1.12724415095701,0.465665976020923,0.534334023979077,0.970906869048515,0.00499127939356108,0.250248732808954,1.19510093657717,1.1428094925686,1.1070080161052,1.12064403415717,1.14094292753437,1.12787983528755,-0.000332594227792749,0.0162612671910464
lcmnl3_both,xgb_lw2bag,1.12818945535837,0.0150228984944446,1.12762743939024,0.471880152932389,0.528119847067611,0.965326649432291,0.0051122789428914,0.247998151848794,1.19507553923458,1.1424997140708,1.10742283807869,1.1200047111905,1.14231232387881,1.12870768957306,0,0.0185118481512063
lcmnl3_tilt,xgb_lw2bag,1.1282100766816,0.0149909608240253,1.12765878561346,0.469368160068527,0.530631839931473,0.965361419713403,0.00531577620586334,0.247934845897869,1.19506953623743,1.14244657121462,1.10756371078287,1.11998540119008,1.14242789923684,1.12862680098357,2.06213232258889e-05,0.0185751541021311
lcmnl3_sm,xgb_lw2bag,1.12849651433905,0.0148803735837239,1.12792902570411,0.471238625451354,0.528761374548646,0.963063932694294,0.00514753357725784,0.248950474396181,1.19545593209152,1.14261224585265,1.10794516244883,1.12042924851347,1.14259786617267,1.12889804870761,0.000307058980676178,0.0175595256038191
lcmnl3_drift,xgb_lw2fr10,1.12851264587277,0.0145191801070534,1.12793667202494,0.419068229420583,0.580931770579417,0.977122280519419,0.00147473726475277,0.25405184888102,1.19711031097657,1.14312904749809,1.10859986776008,1.12111356897275,1.14185089572136,1.12786984941157,0.000323190514396554,0.0124581511189805
