cfg,nfeat,oof,mins
base,70,1.13760594296743,1.1366287668546
onehot,162,1.13663220677779,1.45631838242213
onehot_nonum,122,1.14400712436439,1.17673336664836
dsvd32,102,1.12654680808763,1.36333966652552
dsvd72,141,1.11868133833259,1.8333468357722
onehot_dsvd32,194,1.12738193346211,1.82483358383179
