round,added,nested,gain,accepted
1,xgb_long,1.12520712076116,0.00298315397854942,TRUE
2,xgb_2stage,1.12393280143625,0.00127431932491295,TRUE
3,xgb_mono,1.12324713098515,0.000685670451101794,FALSE
