seed,base_enc,rot_enc,base_noenc,rot_noenc
1,1.13760594296743,1.11514987268646,1.15878883956027,1.17405357089006
2,1.13755626858818,1.11556633375035,1.15962757050032,1.17450318737419
3,1.13721912063585,1.11610368808398,1.15934074975892,1.17331233100122
