w,raw,shape,mean_p4
0,1.12818945535837,1.12818945535837,0.306452504552367
0.05,1.12778280219424,1.12778623314729,0.306298158199759
0.1,1.12748201457655,1.12748873635523,0.30614381184715
0.15,1.12728341619008,1.1272932913431,0.305989465494542
0.2,1.12718417396572,1.12719706753323,0.305835119141934
0.25,1.12718213850538,1.12719791784044,0.305680772789325
0.3,1.12727573833574,1.12729427293136,0.305526426436717
0.35,1.12746390945695,1.12748507077816,0.305372080084108
0.4,1.12774604995782,1.12776971127818,0.3052177337315
0.45,1.12812199400584,1.12814803024797,0.305063387378892
0.5,1.12859200233555,1.12862028991508,0.304909041026283
0.55,1.12915676843579,1.12918718510836,0.304754694673675
0.6,1.12981744157608,1.12984986628685,0.304600348321067
