fold,n_rows,simplex2,free3,free5,gain_5_vs_2,gain_5_vs_3
1,4313,1.1424997140708,1.14014284356923,1.13861143990314,0.00388827416765691,0.00153140366608384
2,4313,1.10742283807869,1.10628047800501,1.10685779332687,0.000565044751822397,-0.000577315321856009
3,4313,1.1200047111905,1.11806371284045,1.11484068404556,0.00516402714494135,0.00322302879489045
4,4313,1.14231232387881,1.13762292764721,1.13554111587151,0.00677120800730036,0.00208181177570843
5,4313,1.12870768957306,1.12394162548115,1.12120678138047,0.00750090819259541,0.00273484410068847
