metric,value
nested_2simplex,1.12818945535837
nested_2free,1.12818924699513
nested_3free,1.12521031750861
nested_5free,1.12341156290551
gain_5_vs_2,0.0047778924528632
z_5_vs_2,3.84153050289839
gain_5_vs_3,0.00179875460310303
z_5_vs_3,2.84162473178433
folds_positive_5_vs_2,5
seg_2simplex,1.19610451972449
seg_3free,1.19303787050633
seg_5free,1.1881251702099
