r_non,r_lux,dl,dn,du,G_w85,G_w100,dl_w85,dn_w85,du_w85,dl_w100,dn_w100,du_w100
0.2,0.29665762452061,0.463134206853259,-0.517604589040934,0.153114307793542,0.0227815025912658,0.0232991098555,0.463134206853259,-0.517604589040934,0.153114307793542,0.536967912589965,-0.621956091025288,0.179216781731398
0.2025,0.295525027835527,0.457616699638984,-0.503165822407056,0.153114307793542,0.021909154410827,0.0224051905429977,0.457616699638984,-0.503165822407056,0.153114307793542,0.530636464332457,-0.604129060876719,0.179216781731398
0.205,0.294392431150445,0.452088505630289,-0.488821408477369,0.153114307793542,0.0210549908314994,0.021530047823668,0.452088505630289,-0.488821408477369,0.153114307793542,0.524291763222481,-0.586453566850234,0.179216781731398
0.2075,0.293259834465362,0.446549536248072,-0.474569378929517,0.153114307793542,0.0202189185154987,0.0206735754898759,0.446549536248072,-0.474569378929517,0.153114307793542,0.51793368128403,-0.568925706526701,0.179216781731398
0.21,0.292127237780279,0.440999702085613,-0.460407819521225,0.153114307793542,0.0194008466516064,0.0198356704228793,0.440999702085613,-0.460407819521225,0.153114307793542,0.51156208921882,-0.551541712851656,0.179216781731398
0.2125,0.290994641095196,0.43543891289691,-0.446334868043653,0.153114307793542,0.0186006868810082,0.0190162324908714,0.43543891289691,-0.446334868043653,0.153114307793542,0.505176856385072,-0.53429794774232,0.179216781731398
0.215,0.289862044410113,0.429867077584806,-0.432348712369993,0.153114307793542,0.0178183532262853,0.0182151644518781,0.429867077584806,-0.432348712369993,0.153114307793542,0.498777850775906,-0.517190896066077,0.179216781731398
0.2175,0.28872944772503,0.42428410418892,-0.418447588593978,0.153114307793542,0.0170537620233946,0.0174323718612278,0.42428410418892,-0.418447588593978,0.153114307793542,0.492364938997303,-0.500217159964742,0.179216781731398
0.22,0.287596851039947,0.418689899873373,-0.404629779253378,0.153114307793542,0.016306831856493,0.0166677629833366,0.418689899873373,-0.404629779253378,0.153114307793542,0.485937986245661,-0.483373453500957,0.179216781731398
0.2225,0.286464254354864,0.413084370914294,-0.390893611633828,0.153114307793542,0.0155774834954617,0.0159212487075657,0.413084370914294,-0.390893611633828,0.153114307793542,0.479496856284902,-0.46665659760493,0.179216781731398
0.225,0.285331657669782,0.407467422687118,-0.377237456148661,0.153114307793542,0.0148656398360009,0.0151927424679249,0.407467422687118,-0.377237456148661,0.153114307793542,0.473041411423149,-0.450063515301458,0.179216781731398
0.2275,0.284199060984699,0.401838959653671,-0.363659724790651,0.153114307793542,0.0141712258421659,0.0144821601664119,0.401838959653671,-0.363659724790651,0.153114307793542,0.466571512488941,-0.433591227198681,0.179216781731398
0.23,0.283066464299616,0.396198885349011,-0.350158869651859,0.153114307793542,0.0134941684912338,0.0137894200997897,0.396198885349011,-0.350158869651859,0.153114307793542,0.460087018806986,-0.417236847221457,0.179216781731398
0.2325,0.281933867614533,0.390547102368058,-0.336733381507507,0.153114307793542,0.0128343967207808,0.0131144428896195,0.390547102368058,-0.336733381507507,0.153114307793542,0.453587788173438,-0.400997578573539,0.179216781731398
0.235,0.28080127092945,0.384883512351984,-0.323381788463478,0.153114307793542,0.0121918413778829,0.0124571514153756,0.384883512351984,-0.323381788463478,0.153114307793542,0.447073676830683,-0.384870709913908,0.179216781731398
0.2375,0.279668674244367,0.379208015974362,-0.310102654656817,0.153114307793542,0.0115664351703115,0.0118174707504816,0.379208015974362,-0.310102654656817,0.153114307793542,0.440544539441632,-0.368853611733697,0.179216781731398
0.24,0.278536077559284,0.373520512927069,-0.296894579016192,0.153114307793542,0.0109581126196676,0.011195328101116,0.373520512927069,-0.296894579016192,0.153114307793542,0.434000229063494,-0.352943732921139,0.179216781731398
0.2425,0.277403480874201,0.367820901905949,-0.283756194072156,0.153114307793542,0.0103668100163395,0.0105906527476486,0.367820901905949,-0.283756194072156,0.153114307793542,0.427440597121031,-0.337138597502384,0.179216781731398
