s,r_non,r_lux,G_w85,G_w100,G_min_4corners,verdict
1.3,0.621000231731846,0.105928237769166,,,,INFEASIBLE
1.301,0.618080805919616,0.107250850568077,,,,INFEASIBLE
1.302,0.615161380107386,0.108573463366988,,,,INFEASIBLE
1.303,0.612241954295156,0.109896076165899,,,,INFEASIBLE
1.304,0.609322528482926,0.11121868896481,,,,INFEASIBLE
1.305,0.606403102670696,0.11254130176372,,,,INFEASIBLE
1.306,0.603483676858466,0.113863914562631,,,,INFEASIBLE
1.307,0.600564251046236,0.115186527361542,,,,INFEASIBLE
1.308,0.597644825234006,0.116509140160453,0.0882139107708961,0.0903264299955551,0.0844331869128595,ADOPT
1.309,0.594725399421776,0.117831752959364,0.0862315942551927,0.088289210440916,0.0824980862110258,ADOPT
1.31,0.591805973609546,0.119154365758274,0.0842739464988486,0.0862777401524346,0.0805874314703302,ADOPT
1.311,0.588886547797316,0.120476978557185,0.0823408501132919,0.0842918790057224,0.0787011104183715,ADOPT
1.312,0.585967121985086,0.121799591356096,0.0804321904050285,0.0823314903451717,0.07683901336346,ADOPT
1.313,0.583047696172856,0.123122204155007,0.0785478553149661,0.0803964408911729,0.0750010331382639,ADOPT
1.314,0.580128270360626,0.124444816953918,0.0766877353600318,0.0784866006512984,0.0731870650455614,ADOPT
1.315,0.577208844548396,0.125767429752828,0.074851723576994,0.0766018428352785,0.0713970068060639,ADOPT
1.316,0.574289418736166,0.127090042551739,0.0730397154683867,0.0747420437735612,0.0696307585081173,ADOPT
1.317,0.571369992923937,0.12841265535065,0.0712516089504903,0.0729070828392985,0.0678882225593523,ADOPT
1.318,0.568450567111706,0.129735268149561,0.0694873043031951,0.071096842373586,0.0661693036400843,ADOPT
1.319,0.565531141299477,0.131057880948472,0.067746704121795,0.0693112076138056,0.0644739086584658,ADOPT
1.32,0.562611715487246,0.132380493747383,0.0660297132705386,0.0675500666249244,0.0628019467072901,ADOPT
1.321,0.559692289675017,0.133703106546293,0.0643362388379126,0.0658133102336196,0.0611533290224075,ADOPT
1.322,0.556772863862786,0.135025719345204,0.0626661900935858,0.0641008319650912,0.0595279689426728,ADOPT
1.323,0.553853438050557,0.136348332144115,0.0610194784469473,0.0624125279824559,0.057925781871389,ADOPT
1.324,0.550934012238326,0.137670944943026,0.059396017407183,0.0607482970285919,0.0563466852391609,ADOPT
1.325,0.548014586426097,0.138993557741937,0.0577957225448352,0.0591080403703479,0.0547905984681726,ADOPT
1.326,0.545095160613866,0.140316170540848,0.0562185114547726,0.0574916617449942,0.053257442937748,ADOPT
1.327,0.542175734801637,0.141638783339758,0.054664303720577,0.0558990673088388,0.0517471419512291,ADOPT
1.328,0.539256308989406,0.142961396138669,0.0531330208802123,0.0543301655879084,0.0502596207040893,ADOPT
1.329,0.536336883177177,0.14428400893758,0.0516245863930059,0.0527848674306142,0.0487948062532498,ADOPT
1.33,0.533417457364947,0.145606621736491,0.0501389256078604,0.0512630859623191,0.0473526274875573,ADOPT
1.331,0.530498031552717,0.146929234535402,0.0486759657326696,0.0497647365417373,0.0459330150993886,ADOPT
1.332,0.527578605740486,0.148251847334313,0.0472356358048862,0.0482897367190863,0.0445359015573446,ADOPT
1.333,0.524659179928257,0.149574460133223,0.0458178666632198,0.0468380061959342,0.043161221080002,ADOPT
