structure_,fold,member,lambda,d_glob,d_lux_raw,d_non_raw,d_lux_shr,d_non_shr
folds,1,xgb_lw2bag,1,-0.0256553396375006,-0.884895772489167,0.0440556813949923,-0.884895772489167,0.0440556813949923
folds,1,lcmnl3_both,0.75,-0.0111665702011458,-0.39686998216707,0.0163919662740332,-0.300444129175589,0.00950233215523844
folds,1,xgb_long,1,-0.0337817057404102,-0.879878445602419,0.0347956083009396,-0.879878445602419,0.0347956083009396
folds,1,xgb_wide,1,-0.0110813244051719,-0.859539947676597,0.0577844152006567,-0.859539947676597,0.0577844152006567
folds,1,xgb_2stage,1,0.0131134247377908,-0.842920706972998,0.0826370535454391,-0.842920706972998,0.0826370535454391
folds,2,xgb_lw2bag,0.75,-0.0316387228218374,-0.593987112457113,0.0121422505494961,-0.453400015048294,0.00119700720666275
folds,2,lcmnl3_both,0,-0.020082601523682,-0.0887220923151769,-0.0153853213202026,-0.020082601523682,-0.020082601523682
folds,2,xgb_long,0.75,-0.0140136620467046,-0.596020251410654,0.0312467146341738,-0.450518604069667,0.0199316204639542
folds,2,xgb_wide,0.75,0.0103806372653512,-0.55986697581571,0.0548242578970974,-0.417305072545445,0.0437133527391608
folds,2,xgb_2stage,0.75,0.0261229237361107,-0.55884115230833,0.0717915276888901,-0.41260013329722,0.0603743767006952
folds,3,xgb_lw2bag,0.75,0.00341674951916146,-0.681424033726476,0.0556097305178752,-0.510213837915067,0.0425614852681968
folds,3,lcmnl3_both,0,0.00661817944027841,-0.231283953638072,0.0229356922186785,0.00661817944027841,0.00661817944027841
folds,3,xgb_long,0.75,0.00370001244776495,-0.694714523045779,0.0570571434488399,-0.520110889172393,0.0437178606985712
folds,3,xgb_wide,0.75,0.0275139236799218,-0.656771529321587,0.0797817630375725,-0.485700166071209,0.0667148031981599
folds,3,xgb_2stage,0.75,0.0680967726058489,-0.587822012771783,0.11747930237819,-0.423842316427375,0.105133669935104
folds,4,xgb_lw2bag,0.75,-0.0427407653754083,-0.640554797992092,0.00622400946779575,-0.491101289837921,-0.00601718424300527
folds,4,lcmnl3_both,0,-0.0150845698160401,-0.093270188200265,-0.00949708812864593,-0.0150845698160401,-0.0150845698160401
