structure_,fold,n,base_plain,cal_plain,d_plain,base_segrw,cal_segrw,d_segrw
folds,1,4313,1.13861143990314,1.14259563679643,-0.00398419689328589,1.31038998428729,1.3475406400488,-0.0371506557615129
folds,2,4313,1.10685779332687,1.10617141333243,0.000686379994439434,1.15813066462574,1.14820363385914,0.00992703076660195
folds,3,4313,1.11484068404556,1.11467035733174,0.000170326713821556,1.08954503909529,1.08480206829122,0.00474297080407604
folds,4,4313,1.13554111587151,1.13431978857939,0.00122132729211732,1.15912519891483,1.14815611363427,0.0109690852805577
folds,5,4313,1.12120678138047,1.12003109104979,0.00117569033067588,1.29173723997383,1.28046652299221,0.0112707169816115
folds_b,1,4313,1.10900516522339,1.10925707859968,-0.000251913376298374,1.19353445240165,1.18697300149242,0.00656145090923199
folds_b,2,4313,1.14793386680157,1.14617037079943,0.00176349600214176,1.20248918924874,1.19017109610478,0.012318093143961
folds_b,3,4313,1.11602628921675,1.11609104484294,-6.47556261899052e-05,1.18687539769287,1.18350497105261,0.00337042664026166
folds_b,4,4313,1.12918656470768,1.13546390764515,-0.00627734293747762,1.22712515786175,1.26797830701616,-0.04085314915441
folds_b,5,4313,1.11530998096898,1.11470130286881,0.00060867810017684,1.15451253500755,1.14797824354014,0.00653429146741358
