cfg,plain,seg,mins
d6_r250+mf,1.153956514553,1.23138136399618,1.52251068353653
d6_r250+mf_tau1.00,1.15446800929709,1.23156040181094,1.50972813367844
d6_r250,1.15226151459439,1.23172127693441,1.49971858263016
d6_r250+mf_tau0.50,1.15425578832397,1.23274695597823,1.51240616639455
d6_r250+mf_tau0.25,1.15425911329601,1.23331605756606,1.50964061816533
d5_r300,1.15178922712061,1.23405099029133,1.72408275206884
d4_r400,1.15239529968302,1.23799698876322,2.13581878344218
d3_r400,1.15946613459699,1.25077114190815,2.06668251752853
